Room Type: Double, Room Number: 200, Price per night: $120, Reservation Type: Reserved
Room Type: Single, Room Number: 100, Price per night: $110, Reservation Type: Reserved
Room Type: Single, Room Number: 101, Price per night: $110, Reservation Type: Reserved
Room Type: Single, Room Number: 102, Price per night: $110, Reservation Type: Reserved
Room Type: Single, Room Number: 103, Price per night: $110, Reservation Type: Reserved
Room Type: Single, Room Number: 104, Price per night: $110, Reservation Type: Reserved
Room Type: Single, Room Number: 105, Price per night: $110, Reservation Type: Reserved
Room Type: Single, Room Number: 106, Price per night: $110, Reservation Type: Reserved
Room Type: Single, Room Number: 107, Price per night: $110, Reservation Type: Reserved
Room Type: Single, Room Number: 108, Price per night: $110, Reservation Type: Reserved
Room Type: Single, Room Number: 109, Price per night: $110, Reservation Type: Reserved
Room Type: Double, Room Number: 200, Price per night: $120, Reservation Type: Reserved
Room Type: Double, Room Number: 201, Price per night: $120, Reservation Type: Reserved
Room Type: Double, Room Number: 202, Price per night: $120, Reservation Type: Reserved
Room Type: Double, Room Number: 203, Price per night: $120, Reservation Type: Reserved
Room Type: Single, Room Number: 100, Price per night: $110, Reservation Type: Reserved
Room Type: Double, Room Number: 200, Price per night: $120, Reservation Type: Reserved
Room Type: Single, Room Number: 100, Price per night: $110, Reservation Type: Reserved
